a|A1|PRODUCTION|N/A|N/A||||||Closed
UNILEVER|UNILEVER|PRODUCTION|oTDP001|100%|14.10.05.07|14.1|6650|NA|NA|Active
UNILEVER|UNILEVER|PRODUCTION|oTDP002|100%|14.10.05.07|14.1|5600|NA|NA|Active
UNILEVER|UNILEVER|Development|ULD|100%|14.10.05.07|14.1|2700|NA|NA|Active
Volvo Cars|VOLVO|PRODUCTION|VCC5|100%|14.00.07.15|14|6990|NA|NA|Active
Volvo Cars|VOLVO|UAT|VCC6|100%|14.00.07.15|14|2750|NA|NA|Active
Volvo Cars|VOLVO|DEV|VCC7|100%|14.00.07.15|14|2750|NA|NA|Active
Volvo Cars|VOLVO|TEST|VCC7|100%|14.00.07.15|14|2750|NA|NA|Active
Volvo Cars|VOLVO|  Sandbox|VCC3|100%|14.00.07.15|14|5555|NA|NA|Active
Vonage|VONAGE - UPDATED|PRODUCTION|VONAGE3|100%|14.00.03.07|14||NA|NA|Active
Vonage|VONAGE - UPDATED|DEV/QA|VONAGE2|100%|14.00.03.07|14||NA|NA|Active
WALMART|WALMART|PRODUCTION|WMA|100%|14.00.06.04|14|5650|NA|NA|Active
WALMART|WALMART|PRODUCTION|WMB|100%|14.00.06.04|14|5650|NA|NA|Active
WALMART|WALMART|PRODUCTION|WMF|100%|14.00.06.04|14|5650|NA|NA|Active
WALMART|WALMART|PRODUCTION|WMM|100%|14.00.06.04|14|5650|NA|NA|Active
WALMART|WALMART|PRODUCTION|WMN|100%|14.00.06.04|14|5650|NA|NA|Active
WALMART|WALMART|PRODUCTION|WMS|100%|14.00.06.04|14|5650|NA|NA|Active
WALMART|WALMART|PRODUCTION|WM1|100%|14.00.06.04|14|2700|NA|NA|Active
WALMART|WALMART|PRODUCTION|WM2|100%|14.00.06.04|14|2700|NA|NA|Active
WALMART|WALMART|PRODUCTION|WM3|100%|14.00.06.04|14|2700|NA|NA|Active
WALMART|WALMART|PRODUCTION|WME|100%|14.00.06.04|14|5650|NA|NA|Active
Wellmark|WELLMARK|PRODUCTION|WMKPROD2|100%|15.00.06.04|15|2800|NA|NA|Active
Wellmark|WELLMARK|UAT|WMKPREPROD1|100%|15.00.06.04|15|2700|NA|NA|Active
Wellmark|WELLMARK|DEV|WMKDEV1|100%|15.00.06.04|15|2700|NA|NA|Active
Wellmark|WELLMARK|SIT|WMKPROD1|100%|15.00.06.04|15|2700|NA|NA|Active
Westpac GDW|WESTPAC GDW|PRODUCTION|tdp3dbcop1|100%|14.00.07.19|14|6700|NA|NA|Closed
Westpac GDW|WESTPAC GDW|DEV|tdt1wsdbcop|100%|14.00.07.19|14|2690|NA|NA|Closed
WHSMITH|WHSMITH|PRODUCTION|WHS6700|75%|15.00.03.06|15|6700C|NA|NA|Active
WHSMITH|WHSMITH|DR|WHS560|75%|15.00.03.06|15|560|NA|NA|Active
WinCo|WINCO|PRODUCTION|TDCLOUD02C|100%|14.10.00.09|14.1|2690|NA|NA|Active
WSI|WSI|PRODUCTION|WSONOMAPROD||14.10.05.03|14.1|1 5650+1 6650|NA|NA|Active
WSI|WSI|Dev|WSONOMADEV||14.10.05.03|14.1|2690|NA|NA|Active
Lufthansa|LUFTHANSA|PRODUCTION|LHANSAAPPL|100%|14.10.06.02 |14.1||NA|NA|Active
Lufthansa|LUFTHANSA|TEST|LHANSAAPPL|100%|14.10.06.02|14.1||NA|NA|Active
Carrefour|CARREFOUR|PRODUCTION|CRF03|100%|13.10.07.03|13.1|5+3N  5650|NA|NA|Active
Carrefour|CARREFOUR|TEST|CRF01|100%|13.10.07.03|13.1|1N 550P|NA|NA|Active
Engie|ENGIE|PRODUCTION|GDF01|100%|14.00.07.15|14|Teradata Appliance 2690|NA|NA|Active
Engie|ENGIE|PREPRODUCTION-DEVELOPMENT|GDF03-GDF02|100%|14.00.07.15|14|Teradata Appliance 2690- 560|NA|NA|Active
Sligro|SLIGRO|PRODUCTION|SLIGRO01|100%|14.10.04.11|14.1|2NX2700|NA|NA|Active
Sligro|SLIGRO|TEST|SLIGRO02|100%|14.10.04.11|14.1|2NX2700|NA|NA|Active
TELSTRA|TELSTR|PRODUCTION|TELSTRAER1|95%|14.10.07.10|14.1|Heterogeneous System 6680 (6 Nodes) and 6700 (8 Nodes)|NA|NA|Active
Bell Canada|Bell Canada|PRODUCTION||||||NA|NA|Closed
Amgen|Amgen|PRODUCTION|TDCLOUD05TD16||14.10.01.07á|14.1|(Cloud)á|NA|NA|Active
Amgen|Amgen|DEV|TDCLOUD05TD28||14.10.01.07á|14.1|(Cloud)áá|NA|NA|Active
Tyson - Hillshire|Tyson - Hillshire|Production|TYSONPROD|100%|15.00.03.06|15|2800|NA|NA|Active
Tyson û Hillshire|Tyson û Hillshire|Development|TYSONDEV|100%|13.10.05.02|13.1|2650|NA|NA|Active
Tyson - Hillshire|Tyson - Hillshire|QA/DR|TYSONDRQA|100%|15.00.03.06|15|2800|NA|NA|Active
MEIJER|MEIJER|PRODUCTION|MEIJER19|63%|15.00.03.08|15|6800|NA|NA|Active
MEIJER|MEIJER|PRODUCTION|MEIJER14||15.00.03.08|15|6690|NA|NA|Active
MEIJER|MEIJER|PRODUCTION|MEIJER15|100%|15.00.03.08|15|2690|NA|NA|Active
MEIJER|MEIJER|DEV|MEIJER17|100%|15.00.03.08|15|1700|NA|NA|Active
MEIJER|MEIJER|DEV|MEIJER18|100%|15.00.03.08|15|1700|NA|NA|Active
SociTtT GTnTrale|SociTtT GTnTrale|PRODUCTION|SOCGEN01 - SIOP|100%|14.10.06.10|14.1|2C * (4N+0) 2700|NA|NA|Active
SociTtT GTnTrale|SociTtT GTnTrale|PRODUCTION|SOCGEN13 - BSC|100%|14.10.06.10|14.1|1C * (4N+0) 2800|NA|NA|Active
SociTtT GTnTrale|SociTtT GTnTrale|TEST|SOCGEN02 - SIOP|100%|14.10.06.10|14.1|1C * (4N+0) 2700|NA|NA|Active
SociTtT GTnTrale|SociTtT GTnTrale|TEST|SOCGEN12 - BSC|100%|14.10.06.10|14.1|2C * (2N+0) 2700|NA|NA|Active
SociTtT GTnTrale|SociTtT GTnTrale|DEV|SOCGEN21 - SIOP/BSC|100%|14.10.06.10|14.1|1C * (2N+0) 2700|NA|NA|Active
Expedia|Expedia|PRODUCTION|Expedia1|100%|15.00.04.03|15|2750|NA|NA|Closed
Expedia|Expedia|Dev|Expedia2|100%|15.00.04.03|15|1700|NA|NA|Closed
Airmiles|AIRMILES|PRODUCTION|AIRM02|100%|15.00.02.03|15|2 Node 2750|NA|7.1.1.0|Active
Airmiles|AIRMILES|DEV|AIRM01|100%|15.10.04.04|15.1|2750|NA|7.1.1.0|Active
Roche|ROCHE|PRODUCTION|GENENTECH|100%|15.10.01.04|15.1|2800|NA|NA|Active
Chubb|CHUBB ASTER|||||||NA|NA|Closed
Comcast|Comcast|PRODUCTION|COMCASTPRODCHI|100%|15.1|15.1|6700|NA|NA|Active
Comcast|Comcast|DR|COMCASTDR1|100%|15.1|15.1|2690|NA|NA|Active
Comcast|Comcast|QA|COMCASTSTGWC|100%|15.1|15.1|1800|NA|NA|Active
Comcast|Comcast|DEV|COMCASTDEVWC|100%|15.1|15.1|2750|NA|NA|Active
Comcast|Comcast|UAT|COMCASTUATCHI|100%|15.1|15.1|1800|NA|NA|Active
T-Mobile|T-Mobile|PRODUCTION (TDIDW)|TMOIDWP1|88%|15.00.05.05|15|6750|NA|NA|Active
T-Mobile|T-Mobile|PRODUCTION (TDEDW)|TMODWP1|100%|13.10.07.11|13.1|5600H|NA|NA|Active
T-Mobile|T-Mobile|PRODUCTION (TDCRM)|TMO269XS|100%|13.10.07.11|13.1|2690|NA|NA|Active
T-Mobile|T-Mobile|DEV PRDCM (EDW DEV)|TMO25XX|100%|13.10.07.11|13.1|2580|NA|NA|Active
T-Mobile|T-Mobile|DEV TDIDWD (IDW DEV) |TMOCADS01|100%|15.00.05.01|15|2750|NA|NA|Active
Pinnacle Foods|PINNACLE|PRODUCTION|PINNACLETST2800|100%|14.10.06.05|14.1|2800|NA|NA|Active
West MS Petco 2017|West MS Petco 2017|Production and DR |PETCOPRD1||15.00.05.01|15|Teradata Data Warehouse Appliance 2800|N/A |N/A|
West MS WBEI|CA MS WBEI 2017|TD Cloud|TDcloud12TD03||15.10.03.02|15.1|Node Type: 200CL (16 Nodes, 36 AMPs & 2 PEs per Node)|NA|NA|Active
Oklahoma Gas and Electricity |West MS OGE 2017|PROD|OGEPROD3|NA|14.10.06.09|14.1|2800E5-2697V3 14-Core E5-Xeon 2.60GHz|NA||
Oklahoma Gas and Electricity |West MS OGE 2017|DEV|OGEDEV3|NA|14.10.06.05|14.1|2750E5-2697V2 12-Core E5-Xeon 2.70GHz|NA||
Anthem|Anthem|PRODUCTION|DWPROD2|100%|15.10.04.01|15.1|6800H|NA|NA|Active
Anthem|Anthem|PRODUCTION|DWPROD3|100%|14.10.07.10|14.1|2580|NA|NA|Active
Anthem|Anthem|PRODUCTION|DWPROD4|100%|14.10.07.10|14.1|4600|NA|NA|Active
Anthem|Anthem|DEV|DWDEV|100%|15.10.04.01|15.1|6650C|NA|NA|Active
Anthem|Anthem|TEST|DWTEST1|100%|15.10.04.01|15.1|6650C|NA|NA|Active
Anthem|Anthem|TEST|DWTEST2|100%|15.10.04.01|15.1|2650/5600C|NA|NA|Active
Anthem|Anthem|TEST|DWTEST3|100%|15.10.04.01|15.1|2750|NA|NA|Active
NAB|NAB|PRODUCTION|NATBANKPROD|80%|15.00.06.03|15|6750|HDP 2.4|NA|Active
Target Australia|Target Australia|DEV|TARGETAUDEV|100%|14.10.07.02|14.1|2750|NA|NA|Active
Target Australia|Target Australia|PRODUCTION|TARGETAUPROD|100%|14.10.07.02|14.1|2750|NA|NA|Active
EON|EON|PRODUCTION|EONASTER|100%|NA|NA|N/A|HDP 2.3.2|NA|Active
EON|EON|PRODUCTION|EONHADOOP|100%|NA|NA|N/A|HDP 2.3.2|NA|Active
Vodafone|Vodafone GMBH|PRODUCTION|NA|NA|NA|NA|NA|Hadoop 2.2||Active
Vodafone|Vodafone GMBH|TEST|NA|NA|NA|NA|NA|Hadoop 2.2||Active
Vodafone Perf DBA|Vodafone|Production|VODADE01|91%|14.10.07.10|14.1|6750H|NA|NA|Active
Vodafone Perf DBA|Vodafone|Test|VODADE02|NA|14.10.07.10|14.1|2750|NA|NA|Active
Target|TARGET DBA|PRODUCTION|TGTP1 |100%|14.00.07.12|14|6650H|NA|NA|Active
Target|TARGET DBA|PRODUCTION|TGTP2 |100%|14.00.07.12|14|6750|NA|NA|Active
Woolworths|Woolworths|PRODUCTION|áWWORTHSPROD3|á0%, 100% Available|á15.10.04.03|á15.1|18x TPA 2750 Intel R2208GZ|NAá||Active
Woolworths|Woolworths|DEV|WWORTHSDEV2á|0%, 100% Availableá|á15.10.04.03|á15.1|8x TPA 2750 Intel R2208GZ|áNA||Active
OGE|OGE|PRODUCTION|OGEPROD3|NA|14.10.06.09|14.1|2800|NA|NA|Active
OGE|OGE|DEV|OGEDEV1|NA|14.10.06.05|14.1|2750|NA|NA|Active
MW MS SC Johnson 2017|S C Johnson & Sons|SCJPROD1|SCJPROD1|1|15.00.06.02|15|2800|NA|NA|Active
MW MS SC Johnson 2017|S C Johnson & Sons|SCJQA1|SCJQA1|1|15.00.06.02|15|2800|NA|NA|Active
MW MS SC Johnson 2017|S C Johnson & Sons|SCJDEV1|SCJDEV1|1|15.00.06.02|15|2800|NA|NA|Active
SCB|MY BCWC SCB PSS 2016-2017 |PRODUCTION|STANCDR1TDE STANCDR1TDH STANCPROD2 STANCPRODTDE1|1|15.10.04.03c|15.1|3 nodes of 6800H (1 of which is HSN)12 nodes 6750 (4 of which are HSN)|HDP-2.3.2.0-2950 Total Nodes - 39 datanodes+masternodes|NA|Active
PTCL|PTCL|Production|NA|1|15.00.06.03|15|6700|NA|NA|Active
